Epoch 00259 | Loss 0.4948 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00260 | Loss 0.4935 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00261 | Loss 0.4922 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00262 | Loss 0.4909 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00263 | Loss 0.4895 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00264 | Loss 0.4882 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00265 | Loss 0.4869 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00266 | Loss 0.4856 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00267 | Loss 0.4842 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00268 | Loss 0.4829 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00269 | Loss 0.4816 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00270 | Loss 0.4803 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00271 | Loss 0.4789 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00272 | Loss 0.4776 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00273 | Loss 0.4762 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00274 | Loss 0.4749 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00275 | Loss 0.4736 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00276 | Loss 0.4722 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00277 | Loss 0.4708 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00278 | Loss 0.4695 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00279 | Loss 0.4681 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00280 | Loss 0.4667 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00281 | Loss 0.4653 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00282 | Loss 0.4640 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00283 | Loss 0.4626 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00284 | Loss 0.4612 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00285 | Loss 0.4598 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00286 | Loss 0.4584 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00287 | Loss 0.4569 | Test Acc 0.9375 | Time(s) 0.0390
Epoch 00288 | Loss 0.4555 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00289 | Loss 0.4541 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00290 | Loss 0.4526 | Test Acc 0.9375 | Time(s) 0.0391
Epoch 00291 | Loss 0.4512 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00292 | Loss 0.4497 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00293 | Loss 0.4483 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00294 | Loss 0.4469 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00295 | Loss 0.4454 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00296 | Loss 0.4439 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00297 | Loss 0.4425 | Test Acc 0.9375 | Time(s) 0.0395
Epoch 00298 | Loss 0.4410 | Test Acc 0.9375 | Time(s) 0.0395
Epoch 00299 | Loss 0.4396 | Test Acc 0.9062 | Time(s) 0.0395
